TYPE,BUF,W,TIME
fifo,1000,100,2531033
fifo,1000,105,2351441
fifo,1000,115,2450359
fifo,1000,125,2365059
fifo,1000,135,2563824
fifo,1000,145,2390847
fifo,1000,155,2735542
fifo,1000,165,2714466
fifo,1000,175,2342909
fifo,1000,185,2782219
fifo,1000,200,2672116
fifo,1000,250,2432473
fifo,1000,300,2763094
fifo,1000,400,3040932
fifo,1000,500,3119208

mq,1000,100,1664980
mq,1000,105,1551465
mq,1000,115,1315947
mq,1000,125,1412220
mq,1000,135,1249936
mq,1000,145,1318619
mq,1000,155,1250615
mq,1000,165,1219359
mq,1000,175,1232376
mq,1000,185,1209840
mq,1000,200,1224639
mq,1000,250,1300274
mq,1000,300,1284583
mq,1000,400,1565420
mq,1000,500,1770460

shm,1000,100,1877554
shm,1000,105,1761822
shm,1000,115,1843382
shm,1000,125,1585052
shm,1000,135,1558843
shm,1000,145,1424987
shm,1000,155,1596020
shm,1000,165,1566711
shm,1000,175,1580131
shm,1000,185,1438191
shm,1000,200,1572509
shm,1000,250,1749610
shm,1000,300,1711584
shm,1000,400,2123150
shm,1000,500,2357414
